#{"t_start": 1781182046.04244, "env_id": "None"}
r,l,t
52.225749,190,3183.169736
-12.424887,300,3186.825957
-4.43349,300,3190.119241
52.468554,125,3191.4836
-1.042831,300,3194.859734
-2.605758,300,3198.047071
-7.17657,300,3201.239016
-1.080463,300,3204.517927
-1.357081,300,3207.712171
-0.30117,300,3211.0094
-2.30941,300,3216.157485
-2.277537,300,3219.380499
-10.069299,300,3222.50435
-0.302708,300,3225.531287
52.773677,139,3226.937461
1.304751,300,3229.931118
-0.925313,300,3233.590018
-4.200873,300,3236.796052
-2.391228,300,3239.852838
-1.459307,300,3242.92209
-2.274745,300,3246.018333
51.737115,135,3247.436351
-4.534847,300,3250.484618
-2.414255,300,3253.580476
-0.074541,300,3256.644783
-1.412656,300,3259.655436
52.892967,156,3261.286115
53.824847,115,3262.473031
-3.299618,300,3265.61765
-1.547804,300,3268.780154
53.172932,151,3270.296452
52.690042,131,3271.582397
-0.995786,300,3274.830919
-2.613956,300,3277.994104
-1.219591,300,3281.293037
-3.230913,300,3284.351449
-20.862149,300,3287.512122
